Datetime,Open,High,Low,Close,Adj Close,Volume
2023-05-18 09:00:00,9247.2998046875,9249.2998046875,9241.599609375,9248.2001953125,9248.2001953125,0
2023-05-18 09:01:00,9250.7998046875,9262.099609375,9250.7998046875,9261.7001953125,9261.7001953125,428178
2023-05-18 09:02:00,9263.0,9263.0,9257.7001953125,9258.7001953125,9258.7001953125,618488
2023-05-18 09:03:00,9256.7998046875,9257.5,9254.400390625,9255.2998046875,9255.2998046875,157812
2023-05-18 09:04:00,9255.5,9261.099609375,9255.5,9256.900390625,9256.900390625,92240
2023-05-18 09:05:00,9256.099609375,9261.2998046875,9255.2001953125,9255.2001953125,9255.2001953125,742789
2023-05-18 09:06:00,9255.2001953125,9255.2001953125,9250.099609375,9252.0,9252.0,123730
2023-05-18 09:07:00,9252.099609375,9252.099609375,9250.7998046875,9251.400390625,9251.400390625,73644
2023-05-18 09:08:00,9250.7998046875,9250.7998046875,9249.0,9249.2001953125,9249.2001953125,116026
2023-05-18 09:09:00,9249.400390625,9249.900390625,9247.599609375,9248.7001953125,9248.7001953125,145910
2023-05-18 09:10:00,9248.7001953125,9252.7001953125,9248.7001953125,9252.0,9252.0,147017
2023-05-18 09:11:00,9252.2998046875,9254.7998046875,9252.2998046875,9254.7998046875,9254.7998046875,165880
2023-05-18 09:12:00,9257.2998046875,9259.099609375,9257.2998046875,9258.2998046875,9258.2998046875,150950
2023-05-18 09:13:00,9258.2998046875,9260.7998046875,9258.2998046875,9260.7998046875,9260.7998046875,391105
2023-05-18 09:14:00,9261.2001953125,9261.400390625,9259.599609375,9260.099609375,9260.099609375,294061
2023-05-18 09:15:00,9262.5,9263.2001953125,9262.0,9263.0,9263.0,222005
2023-05-18 09:16:00,9262.900390625,9262.900390625,9260.7001953125,9261.2998046875,9261.2998046875,286250
2023-05-18 09:17:00,9261.099609375,9264.2001953125,9261.099609375,9264.2001953125,9264.2001953125,423611
2023-05-18 09:18:00,9263.7001953125,9263.900390625,9262.0,9262.099609375,9262.099609375,170509
2023-05-18 09:19:00,9261.7998046875,9262.7001953125,9260.7998046875,9262.2001953125,9262.2001953125,157028
2023-05-18 09:20:00,9259.2998046875,9259.2998046875,9259.0,9259.0,9259.0,149426
2023-05-18 09:21:00,9258.900390625,9258.900390625,9256.599609375,9256.7001953125,9256.7001953125,307169
2023-05-18 09:22:00,9256.7998046875,9257.2001953125,9256.400390625,9256.599609375,9256.599609375,125774
2023-05-18 09:23:00,9256.7001953125,9256.7001953125,9256.5,9256.7001953125,9256.7001953125,37783
2023-05-18 09:24:00,9252.2998046875,9252.2998046875,9251.2001953125,9251.5,9251.5,179557
2023-05-18 09:25:00,9251.0,9251.0,9249.900390625,9250.099609375,9250.099609375,242817
2023-05-18 09:26:00,9250.5,9251.2001953125,9250.5,9251.2001953125,9251.2001953125,134685
2023-05-18 09:27:00,9250.7001953125,9250.900390625,9249.7998046875,9250.599609375,9250.599609375,93836
2023-05-18 09:28:00,9251.400390625,9252.400390625,9249.7001953125,9250.099609375,9250.099609375,176690
2023-05-18 09:29:00,9251.099609375,9251.5,9249.400390625,9250.400390625,9250.400390625,67927
2023-05-18 09:30:00,9252.599609375,9254.0,9252.2001953125,9254.0,9254.0,166375
2023-05-18 09:31:00,9253.900390625,9256.400390625,9253.900390625,9255.900390625,9255.900390625,68801
