Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2018-06-05 00:00:00+02:00,12766.16015625,12925.240234375,12753.2998046875,12787.1298828125,107898300,0,0
2018-06-06 00:00:00+02:00,12813.3896484375,12872.900390625,12729.23046875,12830.0703125,106976800,0,0
2018-06-07 00:00:00+02:00,12877.849609375,12914.849609375,12760.5400390625,12811.0498046875,94068000,0,0
2018-06-08 00:00:00+02:00,12668.76953125,12795.6396484375,12610.6796875,12766.5498046875,115025300,0,0
2018-06-11 00:00:00+02:00,12816.3203125,12861.9501953125,12751.66015625,12842.91015625,108719300,0,0
2018-06-12 00:00:00+02:00,12924.0302734375,12948.51953125,12816.0703125,12842.2998046875,100645600,0,0
2018-06-13 00:00:00+02:00,12857.16015625,12905.669921875,12781.23046875,12890.580078125,105696700,0,0
2018-06-14 00:00:00+02:00,12806.0703125,13135.9697265625,12800.66015625,13107.099609375,136091200,0,0
2018-06-15 00:00:00+02:00,13115.849609375,13170.0498046875,13010.5400390625,13010.5498046875,257670500,0,0
2018-06-18 00:00:00+02:00,12945.5302734375,12982.919921875,12784.48046875,12834.1103515625,89102600,0,0
2018-06-19 00:00:00+02:00,12647.0703125,12708.7099609375,12594.509765625,12677.9697265625,102502200,0,0
2018-06-20 00:00:00+02:00,12731.66015625,12760.2001953125,12670.7802734375,12695.16015625,89617400,0,0
2018-06-21 00:00:00+02:00,12699.7099609375,12719.4501953125,12472.98046875,12511.91015625,111154800,0,0
2018-06-22 00:00:00+02:00,12507.7197265625,12579.7197265625,12486.259765625,12579.7197265625,83725600,0,0
2018-06-25 00:00:00+02:00,12497.48046875,12518.8896484375,12270.330078125,12270.330078125,98566500,0,0
2018-06-26 00:00:00+02:00,12333.4404296875,12355.8603515625,12188.5,12234.33984375,62457100,0,0
2018-06-27 00:00:00+02:00,12247.75,12439.91015625,12124.8701171875,12348.6103515625,127889100,0,0
2018-06-28 00:00:00+02:00,12289.8095703125,12375.3701171875,12104.41015625,12177.23046875,107207500,0,0
2018-06-29 00:00:00+02:00,12322.6396484375,12382.8701171875,12260.91015625,12306.0,114043400,0,0
2018-07-02 00:00:00+02:00,12147.9404296875,12301.9296875,12132.7197265625,12238.169921875,93436600,0,0
2018-07-03 00:00:00+02:00,12321.0703125,12428.1396484375,12278.3896484375,12349.1396484375,93526400,0,0
2018-07-04 00:00:00+02:00,12323.75,12350.6796875,12284.5595703125,12317.6103515625,78417600,0,0
2018-07-05 00:00:00+02:00,12363.0498046875,12516.509765625,12361.8603515625,12464.2900390625,114460400,0,0
2018-07-06 00:00:00+02:00,12506.26953125,12508.080078125,12426.400390625,12496.169921875,0,0,0
2018-07-09 00:00:00+02:00,12541.740234375,12559.9697265625,12490.400390625,12543.8896484375,74724300,0,0
2018-07-10 00:00:00+02:00,12580.3095703125,12639.7900390625,12530.7099609375,12609.849609375,81853500,0,0
2018-07-11 00:00:00+02:00,12506.990234375,12514.75,12398.4697265625,12417.1298828125,84350300,0,0
2018-07-12 00:00:00+02:00,12464.0595703125,12505.2001953125,12408.6298828125,12492.9697265625,72314800,0,0
2018-07-13 00:00:00+02:00,12549.23046875,12583.7900390625,12499.2998046875,12540.73046875,0,0,0
2018-07-16 00:00:00+02:00,12530.98046875,12604.240234375,12506.990234375,12561.01953125,97107500,0,0
2018-07-17 00:00:00+02:00,12566.9697265625,12688.5,12522.0498046875,12661.5400390625,91976300,0,0
2018-07-18 00:00:00+02:00,12728.41015625,12778.9599609375,12715.51953125,12765.9404296875,87635000,0,0
2018-07-19 00:00:00+02:00,12740.6796875,12759.419921875,12658.3701171875,12686.2900390625,75493900,0,0
2018-07-20 00:00:00+02:00,12664.4501953125,12706.83984375,12469.5,12561.419921875,106490300,0,0
2018-07-23 00:00:00+02:00,12510.23046875,12565.1201171875,12489.330078125,12548.5703125,65205400,0,0
2018-07-24 00:00:00+02:00,12590.7900390625,12755.26953125,12585.91015625,12689.3896484375,90068800,0,0
2018-07-25 00:00:00+02:00,12685.6796875,12695.1201171875,12538.1201171875,12579.330078125,80817800,0,0
2018-07-26 00:00:00+02:00,12732.8798828125,12827.7099609375,12701.5595703125,12809.23046875,105931000,0,0
2018-07-27 00:00:00+02:00,12825.75,12886.830078125,12815.1201171875,12860.400390625,95634400,0,0
2018-07-30 00:00:00+02:00,12822.8701171875,12848.9501953125,12798.2001953125,12798.2001953125,70725000,0,0
2018-07-31 00:00:00+02:00,12809.740234375,12860.58984375,12739.830078125,12805.5,106509800,0,0
2018-08-01 00:00:00+02:00,12826.7001953125,12833.1103515625,12706.33984375,12737.0498046875,93510500,0,0
2018-08-02 00:00:00+02:00,12617.6298828125,12619.599609375,12493.2001953125,12546.330078125,103271900,0,0
